n,r,m
(:Scan {name: Host Discovery}),[:USES],"(:Option {flag: -sn,description: Host discovery without port scan})"
"(:Option {flag: -sn,description: Host discovery without port scan})",[:USES],(:Scan {name: Host Discovery})
(:Scan {name: Host Discovery}),[:HAS_EXAMPLE],(:Example {cmd: nmap -sn 192.168.1.0/24})
(:Example {cmd: nmap -sn 192.168.1.0/24}),[:HAS_EXAMPLE],(:Scan {name: Host Discovery})
"(:PortRange {severity: low,protocol: TCP,service: HTTP,name: 80})",[:RUNS_SCRIPT],"(:Script {risk_level: low,protocol: HTTP,code: http-title,name: HTTP Title,description: Récupère titre des pages web,category: discovery,requires_port: 80})"
"(:Script {risk_level: low,protocol: HTTP,code: http-title,name: HTTP Title,description: Récupère titre des pages web,category: discovery,requires_port: 80})",[:RUNS_SCRIPT],"(:PortRange {severity: low,protocol: TCP,service: HTTP,name: 80})"
"(:PortRange {severity: low,protocol: TCP,service: HTTPS,name: 443})",[:RUNS_SCRIPT],"(:Script {risk_level: low,protocol: HTTPS,code: ssl-cert,name: SSL Certificate Info,description: Infos du certificat SSL/TLS,category: discovery,requires_port: 443})"
"(:Script {risk_level: low,protocol: HTTPS,code: ssl-cert,name: SSL Certificate Info,description: Infos du certificat SSL/TLS,category: discovery,requires_port: 443})",[:RUNS_SCRIPT],"(:PortRange {severity: low,protocol: TCP,service: HTTPS,name: 443})"
"(:PortRange {severity: critical,protocol: TCP,service: SMB,name: 445})",[:RUNS_SCRIPT],"(:Script {risk_level: low,protocol: SMB,code: smb-os-discovery,name: SMB OS Discovery,description: Détecte OS via SMB,category: discovery,requires_port: 445})"
"(:Script {risk_level: low,protocol: SMB,code: smb-os-discovery,name: SMB OS Discovery,description: Détecte OS via SMB,category: discovery,requires_port: 445})",[:RUNS_SCRIPT],"(:PortRange {severity: critical,protocol: TCP,service: SMB,name: 445})"
"(:PortRange {severity: critical,protocol: TCP,service: SMB,name: 445})",[:RUNS_SCRIPT],"(:Script {risk_level: medium,protocol: SMB,code: smb-enum-shares,name: SMB Enum Shares,description: Énumère partages SMB accessibles,category: enumeration,requires_port: 445})"
"(:Script {risk_level: medium,protocol: SMB,code: smb-enum-shares,name: SMB Enum Shares,description: Énumère partages SMB accessibles,category: enumeration,requires_port: 445})",[:RUNS_SCRIPT],"(:PortRange {severity: critical,protocol: TCP,service: SMB,name: 445})"
"(:PortRange {severity: medium,protocol: TCP,service: SSH,name: 22})",[:RUNS_SCRIPT],"(:Script {risk_level: low,protocol: SSH,code: ssh-hostkey,name: SSH Hostkey,description: Récupère clé publique SSH,category: discovery,requires_port: 22})"
"(:Script {risk_level: low,protocol: SSH,code: ssh-hostkey,name: SSH Hostkey,description: Récupère clé publique SSH,category: discovery,requires_port: 22})",[:RUNS_SCRIPT],"(:PortRange {severity: medium,protocol: TCP,service: SSH,name: 22})"
